Indirizzo|Citta|Zona|Prezzo|Superficie|Locali|Bagni|Box Auto|Piano|Spese condominiali|Agenzia immobiliare|Descrizione|URL
Via lovati 33|Pavia||320|28|1|1||Piano rialzato di 3 piani, con ascensore|80|Studio Immobiliare Cantoni|Lo Studio Immobiliare Cantoni propone adiac. Policlinico e Stazione monolocale composto da: ingresso, zona giorno/notte e bagno. Completamente arredato. LIBERO DAL 1° MAGGIO, le spese condominiali di € 80 comprendono riscaldamento e acqua calda e fredda. Per ulteriori informazioni e visite si prega di inviare una mail a.cantoni@immobiliarecantoni.it indicando un vostro recapito telefonico.  Lo “Studio Immobiliare Cantoni” opera nel settore immobiliare Pavese da oltre 20 anni. La costante ricerca della soddisfazione della Clientela, le selezionate proposte immobiliari, che spaziano dall’appartamento alla villa di alto pregio, pone il nostro studio come punto di riferimento nel complesso mondo immobiliare.|https://www.immobiliare.it/28959938-Monolocale-via-lovati-33-Pavia.html
Via Lombroso|Pavia||550|90|3|1||Interrato di 4 piani, con ascensore|140|Solo Affitti - Agenzia Pavia 1|LIBERO DA APRILE - PAVIA - ZONA POLICLINICO SAN MATTEO - A due passi dall'ospedale e dalla stazione dei treni della citta', proponiamo in affitto ampio TRILOCALE NON ARREDATO posto ad un piano rialzato in condominio molto tranquillo. Posizione comodissima anche per raggiungere il centro in pochi minuti. Composizione: ampio ingresso, soggiorno, cucina, bagno e due camere da letto con balcone che affacciano in un contesto molto silenzioso. Serramenti nuovissimi con doppi vetri, zanzariere, porta blindata e impianto elettrico appena rifatto. Il riscaldamento e' centralizzato con valvole termostatiche; spese condominiali ca.140 € al mese comprensive del riscaldamento, del consumo di acqua e parti comuni dello stabile. Soluzione adatta a coppie oppure a famiglie. La zona e' molto ben servita da mezzi pubblici. DISPONIBILE DA APRILE.|https://www.immobiliare.it/65779619-Affitto-Trilocale-via-Lombroso-Pavia.html
Viale Camillo Golgi|Pavia |Centro città|520|70|3|1||2° di 5 piani, con ascensore|180|Affiliato Tecnocasa: STUDIO RMD 23 S.A.S.|Trilocale per STUDENTI sito nelle immediate vicinanze del policlinico e della stazione. Precisamente in Viale Golgi. Sito a secondo piano con ascensore. Composto da cucinotto, soggiorno, bagno, due camere da letto matrimoniali e cantina. L'APPARTAMENTO VIENE CONSEGNATO COMPLETAMENTE ARREDATO, IMBIANCATO E CON L'IMPIANTO ELETTRICO NUOVO E CONFORME ALLE NORMATIVE. Riscaldamento centralizzato a pavimento circa 180 euro al mese di spese condominiali.  Ogni agenzia ha un proprio titolare ed e' autonoma - Le presenti informazioni non costituiscono elemento contrattuale.|https://www.immobiliare.it/65494336-Affitto-Trilocale-viale-Camillo-Golgi-35-Pavia.html
Via Teodoro Lovati|Pavia |Centro città|420|53|2|1||Ultimo di 3 piani, con ascensore|104|Affiliato Tecnocasa: STUDIO RMD 23 S.A.S.|La palazzina sorge nella zona di Via Lovati di Pavia, comoda per raggiungere la Stazione, il Centro Storico e gli Istituti universitari.La casa è molto particolare in quanto è disposta su due livelli abitativi. Al piano basso troviamo il soggiorno con cucinotto separato.Il bagno è dotato di doccia.Il soggiorno affaccia sul balcone.Dal soggiorno troviamo la scala che porta alla parte soppalcata con camera e armadio.Il riscaldamento è dotato di termo valvole. e aria condizionata.Completa il posto auto interno al cortile.Libero con la prima settimana di giugno 2018  Ogni agenzia ha un proprio titolare ed e' autonoma - Le presenti informazioni non costituiscono elemento contrattuale.|https://www.immobiliare.it/67077765-Affitto-Bilocale-via-Teodoro-Lovati-20-Pavia.html
Via Flarer Francesco|Pavia |Centro città|720|88|3|1||4° di 6 piani, con ascensore|129|Affiliato Tecnocasa: STUDIO RMD 23 S.A.S.|La palazzina sorge nella zona del Policlinico di Pavia; la zona è un punto strategico per la vicinanza alla Stazione, al centro di Pavia e al raccordo Autostradale. La palazzina è dotata di ascensore e l'appartamento è posto al quarto piano. L'ingresso si apre sul disimpegno che serve il soggiorno separato dalla cucina abitabile. Sia il soggiorno e la cucina sono dotati di balcone. Il bagno è stato rifatto ed è dotato di doccia. Le camere sono ampie e luminose. Le finiture sono i n ceramica. Gli impianti sono stati rifatti. La porta è blindata e le porte interne sono nuove. Dotato di cantina. Libero da subito. Il riscaldamento è dotato di termovalvole.  Ogni agenzia ha un proprio titolare ed e' autonoma - Le presenti informazioni non costituiscono elemento contrattuale.|https://www.immobiliare.it/67077757-Affitto-Trilocale-via-Flarer-Francesco-12-Pavia.html
Via santa maria di caravaggio 15|Pavia||800|100|3|2||Piano terra di 2 piani, con ascensore|50|CENTRO AFFITTI|Rif: 2093 - 2093 – Pavia zona Policlinico in recente contesto Trilocale di 100mq posto al piano terra, completamente non arredato, così composto: ingresso/soggiorno, cucina semi-abitabile, disimpegno, 2 camere con parquet, doppi servizi di cui uno in camera, cantina e giardino privato di 100mq. Libero subito. Riscaldamento autonomo. Dotato di doppi vetri, zanzariere, porta blindata e predisposizione aria condizionata. CE F IPE 130,17 €800 + 50 di spese condominiali mensili|https://www.immobiliare.it/66340857-Affitto-Trilocale-via-santa-maria-di-Pavia.html
Viale Golgi 35|Pavia||600|65|2|1|||55|CENTRO AFFITTI|Rif: 2107 - Pavia - Zona Policlinico Bilocale di 65mq per studenti, Arredato, posto al piano rialzato così composto: ingresso, cucina abitabile, 2 camere, bagno e 2 balconi. Dotato di doppi vetri, lavatrice e posto bici in cortile. Riscaldamento autonomo. Libero dal 1 luglio. € 600 + 55 di spese condominiali. CE G IPE 120,17|https://www.immobiliare.it/66813597-Affitto-Bilocale-viale-Golgi-35-Pavia.html
Pavia|Pavia||380|45|1|1||Piano terra di 3 piani|25|Studio Paolo Guarnaschelli|Pavia, Zona Policlinico, affittasi libero dal 1 luglio 2018 appartamento arredato posto al piano terreno composto da: soggiorno con angolo cottura, camera da letto, bagno e ampio ripostiglio esterno. L'appartamento posto in piccolo stabile , ben abitato è situato in una zona tranquilla fornita di tutti i servizi ed esercizi pubblici. Il bagno non è fornito di bidet. Riscaldamento autonomo.|https://www.immobiliare.it/52197965-Affitto-Monolocale-buono-stato-piano-terra-Pavia.html
Via Teodoro Lovati|Pavia||500|45|2|2||Ultimo di 4 piani, con ascensore|50|Sweet Home immobiliare|Sweet Home propone in affitto a Pavia, a due passi dall'ospedale, in via Lovati, un bilocale completamente arredato composto da una zona giorno con cucina a vista e balcone, una zona notte con letto matrimoniale e 2 bagni. per questo immobile contattare il Geom. Fura al 339.4876757|https://www.immobiliare.it/66346287-Affitto-Bilocale-via-Teodoro-Lovati-Pavia.html
Pavia - Centro città|Pavia |Centro città|350|60|2|1||6° di 6 piani, con ascensore|100|Immobiliare Domina S.A.S.|VIA FLARER - IN PORSSIMITA' DEL POLICLINICO (PAVIA): Piano alto con ascensore bilocale semi arredato composto da ingresso, cucina arredata , soggiorno, camera matrimoniale, bagno con lavatrice. L'appartamento è dotato di zanzariere e termovalvole. Euro 350,00 + spese condominiali - Disponibile dal 01/05 /2018 Per ulteriori informazioni contattateci al 393/9688945|https://www.immobiliare.it/64839408-Affitto-Bilocale-buono-stato-sesto-piano-Pavia.html
