Data annuncio|Indirizzo|Citta|Zona|Prezzo|Superficie|Locali|Bagni|Box Auto|Piano|Spese condominiali|Agenzia immobiliare|Descrizione|URL
 07/05/2018|Via Aldo Rossi|Pavia |Centro città|530|55|2|1|1 posto auto|1° di 3 piani, con ascensore|125|Affiliato Tecnocasa: STUDIO RMD 23 S.A.S.|BILOCALE MADONNINA La palazzina di recente costruzione è posta nella zona del Cravino, molto comoda per la vicinanza al raccordo autostradale MILANO - GENOVA. A 500 metri dalla palazzina troviamo un supermercato e la fermata dell'autobus. Lo stabile è dotato di ascensore e servizio di portineria. Posto all'ultimo piano, l'appartamento presenta un alto soffitto con travi a vista in legno e possibilità di soppolco.La cucina è a vista sul soggiorno con affaccio sul primo balcone. La zona notte è composta da bagno con doccia e camera de letto con ampia cabina armadio. Dalla camera si ha accesso al secondo balcone. Le finiture sono ottime. Gli infissi sono in legno dotati di doppio vetro. Nel prezzo è comprenso, l'arredamento, la lavatrice e il condizionatore.Il riscaldamento è dotato di contabilizzatori in modo da pagare l'effettivo consumo. Completa la cantina. La consegna è da ottobre 2018  Ogni agenzia ha un proprio titolare ed e' autonoma - Le presenti informazioni non costituiscono elemento contrattuale.|https://www.immobiliare.it/67210755-Affitto-Bilocale-via-Aldo-Rossi-12-Pavia.html
 07/05/2018|Via aldo rossi|Pavia||550|68|2|1|1 posto auto|Ultimo di 3 piani, con ascensore|125|Affiliato Tecnocasa: STUDIO RMD 23 S.A.S.|La palazzina di recente costruzione è posta nella zona del Cravino, molto comoda per la vicinanza al raccordo autostradale MILANO - GENOVA. A 500 metri dalla palazzina troviamo un supermercato e la fermata dell'autobus. Lo stabile è dotato di ascensore e servizio di portineria. Posto all'ultimo piano, l'appartamento presenta un alto soffitto con travi a vista in legno e possibilità di soppolco.La cucina è a vista sul soggiorno con affaccio sul primo balcone. La zona notte è composta da bagno con doccia e camera de letto con ampia cabina armadio. Dalla camera si ha accesso al secondo balcone. Le finiture sono ottime. Gli infissi sono in legno dotati di doppio vetro. Nel prezzo è comprenso, l'arredamento, la lavatrice e il condizionatore.Il riscaldamento è dotato di contabilizzatori in modo da pagare l'effettivo consumo. Completa la cantina. La consegna è immediata. Viene locato arredato e con contratto di sei mesi massimo un anno. No 4+4 o 3+2  Ogni agenzia ha un proprio titolare ed e' autonoma - Le presenti informazioni non costituiscono elemento contrattuale.|https://www.immobiliare.it/67215597-Affitto-Bilocale-via-aldo-rossi-12-Pavia.html
 07/05/2018|Via Rodolfo Maiocchi 8|Pavia |Centro città|600|85|3|1||Piano rialzato di 2 piani||Studio Immobiliare Cantoni|Lo Studio Immobiliare Cantoni propone a Pavia in Via Maiocchi (Pavia Ovest - zona comoda per raggiungere la stazione ed il Centro Città) appartamento arredato semindipendente posto al piano rialzato e composto da ingresso, soggiorno, cucina abitabile, due camere, bagno, ampia cantina, piccolo cortiletto esclusivo. Riscaldamento autonomo SENZA SPESE DI CONDOMINIO. LIBERO SUBITO. Per ulteriori informazioni e visite si prega di contattare lo Studio tramite e-mail: a.cantoni@immobiliarecantoni.it INDICANDO UN VOSTRO RECAPITO TELEFONICO|https://www.immobiliare.it/67218691-Affitto-Trilocale-via-Rodolfo-Maiocchi-8-Pavia.html
 07/05/2018|Viale della Libertà 23|Pavia |Centro città|850|112|3|2||5° di 6 piani, con ascensore|250|Studio Immobiliare Cantoni|Lo Studio Immobiliare Cantoni propone a Pavia in Viale della Libertà n. 23 ottimo ad ampio tre locali posto al piano 5° in stabile signorile con servizio di portineria, composto da ingresso, soggiorno, cucina abitabile ARREDATA, due ampie camere di cui una con cabina armadio, doppi servizi, ripostiglio, due balconi, cantina. LIBERO DAL 1° SETTEMBRE 2018. Climatizzato, portoncino blindato, spese condominiali pari ad € 3.000/annui comprensive oltre le ordinarie, della fornitura del riscaldamento e del servizio di portineria. SOLO REFERENZIATI. Per ulteriori informazioni e visite si prega di contattare lo Studio tramite e-mail: a.cantoni@immobiliarecantoni.it INDICANDO UN VOSTRO RECAPITO TELEFONICO.|https://www.immobiliare.it/67214303-Affitto-Trilocale-viale-della-Liberta-23-Pavia.html
67221529 |Via Milazzo 83|Pavia||450|50|2|1||2° di 2 piani|40|LONGHI CONSULTING SRLS|avia - borgo ticino - appartamento posto al secondo ed ultimo piano completamente e finemente arredato composto da soggiorno con angolo cottura, bagno e balcone e camera da letto soppalcata, risc. aut. aria cond. - euro 450,00 affitto piu' spese condominiali basse - libero a giugno|https://www.immobiliare.it/67221529-Affitto-Bilocale-via-Milazzo-83-Pavia.html
 07/05/2018|Via Villa Glori 12|Pavia||330|35|1|1||Piano terra di 1 piano|50|Mario Raina R.E. Corporate|Affitto Pavia centro storico affittasi con contratto per studenti universitari, sino a 36 mesi, ampio monolocale ristrutturato, arredato, piano terra, ingresso autonomo, due posti letto, frigorifero con refrigeratore e lavatrice nuovi, angolo cottura con cucina gas e forno, riscaldamento autonomo, posto bici in cortile in apposito locale condominiale predisposto, raccolta differenziata in cortile e acqua fredda comprese nel prezzo, libero subito per studenti Euro 330 + euro 50 spese condominiali.|https://www.immobiliare.it/67217337-Affitto-Monolocale-via-Villa-Glori-12-Pavia.html
67218541 |Via Teodolinda|Pavia||550|55|2|1||1° di 2 piani|40|LONGHI CONSULTING SRLS|pavia via teodolinda, signorile appartamento ristrutturato e arredato di 2 locali + cucinotto e servizi, risc. autonomo . euro 550 mese . dal 1 agosto|https://www.immobiliare.it/67218541-Affitto-Bilocale-via-Teodolinda-Pavia.html
67193013 |Via Luciano De Pascalis 16|Pavia||500|55|2|1||1° piano|40||BILOCALE VIA DE PASCALIS 24  In ottima posizione per Istituti universitari, Ospedali, tangenziale e auto- strada, PRIVATO affitta ampio e nuovo bilocale posto al 1^ piano, con do- pia esposizione e due balconi. Perfettamente arredato, è composto da luminoso soggiorno con parete at- trezzata a cucina, disimpegno, camera matrimoniale, bagno con doccia e lavatrice. Portoncino blindato e ampia cantina Termoautonomo, facilità di parcheggio, basse spese condominiali. Indice di prest.energ. D 96,64|https://www.immobiliare.it/67193013-Affitto-Bilocale-via-Luciano-De-Pascalis-16-Pavia.html
 05/05/2018|Via ferrini 89|Pavia||550|55|2|1||Ultimo di 1 piano||immobiliare campari|Rif: 123 - Pavia zona Via Ferrini proponiamo appartamento indipendente posto al primo ed ultimo piano, ristrutturato recentemente, composto da ingresso, cucinotto, camera, bagno soggiorno e piccola cantina. nessuna spesa condominiale .libero subito|https://www.immobiliare.it/67199839-Affitto-Bilocale-via-ferrini-89-Pavia.html
 05/05/2018|Pavia|Pavia||450|39|1|1||6° di 6 piani, con ascensore||Robbiati Immobiliare S.n.c di Robbiati E. A. e C.|PAVIA Piazzale San Giuseppe Rif. 102 appartamento posto al sesto e ultimo piano con ascensore, completamente ristrutturato nel 2003, composto da: ampio ingresso adattabile a piccolo soggiorno, cucinino, camera matrimoniale, ripostiglio, bagno, balcone, cantina. Panoramico e luminoso. Completamente arredato. Libero subito. Classe energetica G 204,89 [kWh/m²a] € 450/mensili|https://www.immobiliare.it/67198753-Affitto-Monolocale-buono-stato-sesto-piano-Pavia.html
