Indirizzo|Citta|Zona|Prezzo|Superficie|Locali|Bagni|Box Auto|Piano|Spese condominiali|Agenzia immobiliare|Descrizione|URL
Via Antonio Gramsci|Lucignano |Croce|430|65|3|1|Box auto|Piano terra di 2 piani||gruppoplanetimmobiliare srl.|In zona tranquilla e riservata di Lucignano (Localita' Croce) appartamento arredato con ingresso indipendente al piano terra, composto da soggiorno con angolo cottura e ripostiglio, bagno con doccia, camera matrimoniale, camera singola o studio. Giardino piu resede davanti e giardino dietro, scale indipendenti che vanno in garage (circa 20mt). Nessuna spesa condominale.|https://www.immobiliare.it/65702025-Affitto-Trilocale-via-Antonio-Gramsci-Lucignano.html
Lucignano|Lucignano||3200|480|5+|3+||Piano terra di 1 piano||Euro Etrusca Srl|Lucignano immersa nel verde della campagna toscana affittasi settimanalmente, bellissima villa Leopoldina sapientemente restaurata, circondata da un rigoglioso parco di circa 10.000 m2 tutto recintato, con piscina di 6,50 mt. x 13,00 mt, con trampolino, vasca idromassaio riscaldata con aroma e cromo-terapia, forno a legna, barbecu, tavolo da ping pong, rete da palla a volo attrezzi da fitness; nella villa al p.t. si trova una grande cucina, ampi saloni per pranzo, soggiorno con caminetto e zona gioco; al P.1 grande soggiorno-studio con caratteristico focolare dell'epoca, quatttro camere con relativi bagni, ampia loggia per comodi momenti di relax; al piano secondo nella colombaia, camera matrimoniale. Di fronte alla villa trovasi la dependence, formata da due camere matrimoniali con relativo bagno, uno dei quali è dotato di vasca idromassaggio Jacuzzi e altra camera matrimoniale. In un'ala della dependence ci abitano una coppia di casieri per tutte le necessità che il turista può richiedere; inoltre si possono prenotare cene o pranzi con prodotti tipici della zona. Tutte le camere sono dotate di TV satellitare e da internet. La villa viene affitta con la dependence e in totale possono soggiornare fino a 18 persone; per tutte le altre informazioni e prenotazoni contattare l'Agenzia.|https://www.immobiliare.it/59801640-Affitto-Appartamento-piano-terra-Lucignano.html
Lucignano|Lucignano||500|80|4|1||||Euro Etrusca Srl|Lucignano (AR) immediata periferia, in zona molto panoramica, affittasi, appartamento con ingresso indipendente di recente costruzione, posto al primo piano, corredato di piccolo resede, garage con basculante automatizzata; l'appartamento è composto da scala esterna, terrazzo, ingresso, soggiorno, cucina abitabile, camera matrimoniale e camera doppia, bagno e ripostiglio. Le rifiniture sono medio-alte. Viene affittato parzialmente arredato Rif. A000108|https://www.immobiliare.it/64646910-Affitto-Quadrilocale-80-mq-Lucignano.html
Lucignano|Lucignano||450|90|3|1||Piano terra di 1 piano||Euro Etrusca Srl|Lucignano affittasi nel cuore del centro storico, appartamento al piano terra con ingresso indipendente, riscaldamento autonomo a metano, molto spazioso, composto da ingresso, soggiorno-pranzo con angolo cottura, ripostiglio, corridoio, due camere matrimoniali e bagno con vasca. Prezzo richiesto € 450,00 Rif. A000060|https://www.immobiliare.it/54817414-Affitto-Trilocale-piano-terra-Lucignano.html
Lucignano|Lucignano||550|80|4|||||Euro Etrusca Srl|Lucignano (AR) in zona residenziale, tranquilla e panoramica, affittasi bella villetta a schiera di recente costruzione semi-arredata (cucina), composta da giardino privato recintato, garage al P.T. scala interna con accesso dal portone o anche dal garage per accedere al primo piano, dove si trovano, il soggiorno-pranzo con terrazzo, cucinotto, disimpegno, due camere matrimoniali e bagno con finestra. La villetta è in ottime condizioni di manutenzione.|https://www.immobiliare.it/63092188-Affitto-Villetta-a-schiera-4-locali-nuova-Lucignano.html
Lucignano|Lucignano||350|70|2|1||Piano terra di 1 piano||Euro Etrusca Srl|Affittasi a Lucignano in centro storico al 2 piano s.a., appartamento tipico ristrutturato con cura su 2 livelli. L'appartamento è composto da ingresso, ampio soggiorno-cucina, scalinata di accesso a soppalco sottotetto dove si trova l'ampia matrimoniale con bagno, finestra e sottoscala. Completamente arredato. Prezzo 350 mensili. vista sul borgo.|https://www.immobiliare.it/55540384-Affitto-Bilocale-piano-terra-Lucignano.html
Lucignano|Lucignano||350|45|2|||Piano terra di 1 piano||Euro Etrusca Srl|Lucignano nel cuore del centro storico, affittasi caratteristico appartamento, con rifiniture tipiche toscane con soffitti a travi e correnti in legno e pavimenti in cotto, composto da soggiorno con caminetto, divano letto, zona cucina, pranzo al P.T. camera e bagno al P.1. Locale uso lavanderia esterno. Richiesta € 350,00. Rif. A000081|https://www.immobiliare.it/54817860-Affitto-Bilocale-piano-terra-Lucignano.html
Lucignano|Lucignano||550|140|4|||Piano terra di 1 piano||Euro Etrusca Srl|Lucignano, frazione, affittasi terratetto completamente in dipendente, con bella vista sulla campagna retrostante. L'immobile è molto ben tenuto, e si compone a P.T di garage, cantina e legnaia, a p1 ampia cucina abitabile con terrazzo e dispensa, grande matrimoniale, bagno. A p.2 2 camere matrimoniali di cui una con terrazzo e bagno con vasca. Completa piccolo resede di fronte all'immobile.|https://www.immobiliare.it/62387666-Affitto-Casa-indipendente-140-mq-Lucignano.html
Lucignano|Lucignano||550|90|4|||Piano terra di 1 piano||Euro Etrusca Srl|Affittasi a Lucignano, appena fuori dal centro storico del paese, appartamento in villa, totalmente indipendente con grande terrazzo panoramico. L'appartamento con posto auto privato, si trova a piano primo ed è composto da ampio terrazzo con splendida vista panoramica, ingresso, cucina abitabile, soggiorno-pranzo, 2 camere matrimoniali, grande ripostiglio, bagno. Aria condizionata. Termoautonomo. No condominio. Parzialmente arredato. Prezzo mensile 550,00 Euro. Solo persone referenziate.|https://www.immobiliare.it/58337897-Affitto-Quadrilocale-piano-terra-Lucignano.html
Via Giuseppe Rigutini|Lucignano||380|100|5|2|Box 2 auto, 2 posti auto|2° piano|10.0||Appartamento arredato di 100 mq, al secondo piano, con vista panoramica a 500 m. dal paese di Lucignano (Ar), con ampio garage e 2 posti macchina. Composto da 3 camere, cucina abitabile, soggiorno, 2 bagni con doccia.|https://www.immobiliare.it/66421233-Affitto-Appartamento-via-Giuseppe-Rigutini-Lucignano.html
