Data annuncio|Zona|Prezzo|Superficie|Locali|Bagni|Box Auto|Piano|Spese condominiali|Agenzia immobiliare|Descrizione|URL
||330|70|3|1||1||STUDIO RE S.A.S.|Rif. 126A In zona Primo Cristo, al primo piano con ascensore si affitta appartamento completamente ristrutturato NON ARREDATO composto da ingresso su disimpegno, tinello con cucinino, camera matrimoniale, cameretta, bagno, ripostiglio, due balconi e la cantina. Rifiniscono l'appartamento pavimenti in ceramica e infissi in alluminio doppio vetro.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40052919.html
||330|68|3|1||2||STUDIO RE S.A.S.|Rif. 83A  In una palazzina di soli quattro piani si affitta al secondo piano con l'ascensore un trilocale non arredato composto da ingresso su disimpegno spazioso, soggiorno con balcone, cucina abitabile, camera matrimoniale, bagno e cantina raggiungibile anche con l'ascensore.L'appartamento è dotato di videocitofono e l'impianto di riscaldamento è autonomo.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40040274.html
||230|55|2|1||4||STUDIO RE S.A.S.|Rif. 92/A Primo Cristo, alloggio arredato sito al 4° piano con pavimentazione in graniglia e serramenti in alluminio con doppi vetri. L'appartamento viene affittato arredato e si compone di ingresso, cucina abitabile, una camera da letto matrimoniale ed un bagno dotato di doccia. Un balcone di pertinenza. Spese di gestione contenute.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/21539185.html
||250|50|2|1||||STUDIO RE S.A.S.|Rif. 71A In zona cristo, sul corso principale, in piccolo e tranquillo contesto, bilocale semiarredato composto da ingresso su zona giorno, bagno con doccia, camera matrimoniale spaziosa.Le spese condominiali comprendono la tassa per la spazzatura. Termo autonomo.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/21921141.html
||330|57|2|1||||STUDIO RE S.A.S.|Rif. 131A Nella prima parte del Cristo si trova un bilocale arredato al primo piano di una piccola palazzina ristrutturata. La zona giorno è caratterizzata da soggiorno munito di divano con cucina a vista, Zona notte completa di arredi nella camera matrimoniale e bagnocon doccia. Lavatrice presente e l'impianto di riscaldamento è autonomo. Nel cortile è assegnato un comodo posto auto. L'appartamento sarà libero dal 01/02/2019.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40068613.html
||400|60|2|1||3|42|STUDIO RE S.A.S.|Rif. 39A L'alloggio realizzato nel 2008 si presenta in condizioni pari al nuovo ed è situato in una delle via principale di Spinetta Marengo. Il riscaldamento è semi autonomo, con termostato singolo e spese condominiali mensili già comprensive di consumi. L'appartamento viene locato completo di arredi e si compone di ingresso da porta blindata sul soggiorno con angolo cottura, un disimpegno con predisposizioni per collocare la lavatrice, una camera matrimoniale, bagno con doccia ed un ripostiglio. Già presente predisposizione per il condizionatore.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/22011429.html
||320|45|2|1||2||STUDIO RE S.A.S.|Rif. 90A In una traversa di Corso Acqui, al secondo e ultimo piano di una piccola palazzina, grazioso bilocale arredato composto da ingresso su disimpegno, soggiorno con cucina a vista, camera matrimoniale, bagno, riostiglio, balcone e cantina. L'impianto di riscaldamento è autonomo e gli infissi sono in PVC doppio vetro, quindi garantiscono un ottimo isolamento termico.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40046151.html
||350|85|3|1|SI|1|20|STUDIO RE S.A.S.|Rif. 123A L'alloggio si trova al primo piano di un piccolo contesto situato in posizione comoda a tutti i servizi, nel centro di Spinetta Marengo. Lo stabile è in buone condizioni e non presenta spese di amministrazione, solamente il consumo di acqua e luce scale per un ammontare di € 20,00. L'immobile viene locato libero da mobili ed è composto da ingresso su corridoio, cucinino con tinello spazioso, due camere da letto matrimoniali ed un bagno fornito di vasca. Gli ambienti sono luminosi e dispongono di pavimentazioni in marmo. Il box auto e la cantina sono inclusi nel canone di locazione. Riscaldamento autonomo.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40050760.html
||320|80|4|1|||0|STUDIO RE S.A.S.|Rif. 101A Castelceriolo, appartamento dotato di riscaldamento autonomo sito in una casa semindipendente suddivisa in cinque unità abitative. L'immobile è disposto su due livelli: al piano terra troviamo la zona giorno composta da soggiorno e cucina abitabile, al primo piano due camere da letto ed un bagno dotato doccia. Tutti gli ambienti presentano serramenti in alluminio con doppi vetri e zanzariere.  Completano la proprietà un balcone, un solaio adibito a rispotiglio ed un piccolo cortile di pertinenza esclusiva. L'alloggio non presenta spese condominiali e viene locato libero da mobili.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40047903.html
||350|75|3|1|SI|1||STUDIO RE S.A.S.|Rif. 122A L'appartamento si trova al primo ed ultimo piano di un piccolo contesto senza spese di amministrazione, situato all'inizio di Spinetta Marengo. L'alloggio viene locato libero da mobili e si compone di ingresso, cucina abitabile con balcone, due camere da letto ed un bagno fornito di vasca. Gli ambienti dispongono di serramenti con doppi vetri e pavimentazioni in ceramica. La cantina ed il box auto sono inclusi nel canone di locazione. Il riscaldamento è autonomo e le uniche spese fisse di gestione ammontano ad € 20,00 mensili.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40050734.html
